parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
11070347,1,,,4.0,4.0,,1,4.0,,,3095.0,3095,,,,,06037,,4,,,,2,34291173,-118577875,,,,,,,010D,269,LARE,060371082.021002,12447,3101,275078,96356,0.0,,,,1,,,2016.0,,,138760.0,192544.0,2016,53784.0,2460.72,,,
11073947,,,,0.0,0.0,4,,,,,2470.0,,,2470,,,06037,,,,,,,34265214,-118520217,3423.0,,,,,,1200,47,LAC2,060371112.022021,12447,3101,31817,96370,0.0,,,,,,,1958.0,1,,249582.0,436767.0,2016,187185.0,6014.18,,,
11114347,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34447747,-118565056,81293.0,,,,,,010D,269,SCUR3,060379201.081013,,3101,,96377,0.0,,,,,,,,,,,9.0,2016,9.0,,,,
11116947,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34465048,-118568166,6286.0,,,,,,010D,269,LCA25*,060379201.071002,,3101,,96377,0.0,,,,,,,,,,,171200.0,2016,171200.0,4690.68,,,
11142747,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34416889,-118505805,,,,,,,300V,266,SCBP,060379203.1420,54311,3101,37739,96373,0.0,,,,,,,,,,,4265.0,2015,4265.0,,,,
11193347,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34585014,-118162010,11975.0,,,,,,0100,261,PDA1*,060379104.01101,40227,3101,,97329,0.0,,,,,,,,,,,10.0,2016,10.0,,,,
11215747,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34563376,-118019104,9403.0,,,,,,0100,261,PDA21*,060379107.05102,40227,3101,,97330,0.0,,,,,,,,,,,10.0,2016,10.0,,,,
11229347,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34526913,-118050581,3817.0,,,,,,0100,261,LCA21*,060379107.091112,40227,3101,,97330,0.0,,,,,,,,,,,2108.0,2016,2108.0,174.21,,,
11287347,,,,0.0,0.0,4,3,,,,2760.0,,,2760,,,06037,,,,,,,34690736,-118135225,8856.0,,,,,,1210,31,LRC3*,060379008.061041,5534,3101,,97317,0.0,,,,,,,1949.0,1,,33151.0,63374.0,2016,30223.0,2330.24,,,
11288547,,,,0.0,0.0,,4,,,,4000.0,4000,,,,,06037,,,,,,,34733960,-118139298,46526.0,,,,,,300V,260,LCM*,060379003.001052,5534,3101,,97318,0.0,,,,,,,1956.0,,,176653.0,314727.0,2016,138074.0,4162.56,,,
11324547,1,,,2.0,4.0,,8,2.0,,,3633.0,3633,,,,,06037,,2,,,,2,34560018,-118169806,9826.0,,,,,,0100,261,LCA22,060379102.061100,40227,3101,,97329,0.0,,,,1,,,2005.0,,,222321.0,296425.0,2016,74104.0,6941.39,,,
11391347,,,,0.0,0.0,4,4,,,,4053.0,,,4053,,,06037,,,,,,,33986910,-118329553,8050.0,,,,,,1210,31,LAC2,060372347.003007,12447,3101,115729,96024,0.0,,,,1,,,2002.0,1,,200612.0,511433.0,2016,310821.0,6840.34,,,
11395747,,,,0.0,0.0,4,6,,,,1442.0,,,1442,,,06037,,,,,,,33960238,-118319986,2904.0,,,,,,1210,31,INC2*,060376008.012023,45888,3101,,96137,0.0,,,,1,,,,1,,36423.0,50689.0,2016,14266.0,1522.08,,,
11404347,,,,0.0,0.0,4,4,,,,1936.0,,,1936,,,06037,,,,,,,33959896,-118350438,1821.0,,,,,,1210,31,INC1*,060376010.012021,45888,3101,,96133,0.0,,,,,,,1939.0,1,,111677.0,365489.0,2016,253812.0,3703.54,Y,13,
11405747,,,,0.0,0.0,4,4,,,,1606.0,,,1606,,,06037,,,,,,7,33952952,-118361711,5231.0,,,,,,1210,31,INC2YY,060376014.021005,45888,3101,,96133,0.0,,,,1,,,1926.0,1,,42556.0,184437.0,2016,141881.0,2992.02,,,
11417147,,,,0.0,0.0,4,4,,,,2820.0,,,2820,,,06037,,,,,,,33931500,-118352104,5934.0,,,,,,1210,31,HAC2YY,060376021.031001,45888,3101,,96136,0.0,,,,2,,,1922.0,1,,45644.0,135755.0,2016,90111.0,2797.7,,,
11441547,,,,0.0,0.0,4,5,,,,13130.0,,,13130,,,06037,,,,,,,33901592,-118353199,13200.0,,,,,,1200,47,LNM1YY,060376039.001008,46178,3101,,96107,0.0,,,,,,,1953.0,1,,786351.0,1093711.0,2016,307360.0,15617.06,,,
11457547,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,33961232,-118385376,500.0,,,,,,0100,261,LAR2,060372760.00300,12447,3101,7877,96026,0.0,,,,,,,,,,,124.0,2016,124.0,,,,
11488147,,,,4.0,5.0,,8,4.0,,,2865.0,,,2865,,,06037,,4,,,,,33879216,-118361434,4990.0,,,,,,0200,246,RBR-3,060376205.211004,33612,3101,,96124,0.0,,,,2,,,1972.0,,,271704.0,831224.0,2016,559520.0,10455.41,,,
11520747,,,,0.0,0.0,4,4,,,,6790.0,,,6790,,,06037,,,,,,,34016768,-118408671,10437.0,,,,,,1200,47,CCR4*,060377028.013006,51617,3101,762191,96097,0.0,,,,,,,1955.0,1,,207923.0,798579.0,2016,590656.0,11304.81,,,
11524947,1,,,2.0,2.0,,7,2.0,,,1090.0,1090,,,,,06037,,2,,,,2,33974100,-118423000,40247.0,,,,,,010C,266,LAC2(PV),060372756.021009,12447,3101,13327,96072,0.0,,,,1,,,2004.0,,,232897.0,357568.0,2016,124671.0,6165.36,,,
11544747,1,,,4.0,3.0,,11,4.0,,,1620.0,1620,,,,,06037,,4,,,,2,33996200,-118438000,,,,,,,0100,261,LAR3,060372722.021006,12447,3101,116415,96047,0.0,,,,1,,,2011.0,,,339532.0,847770.0,2016,508238.0,10244.94,,,
11579347,,,,0.0,0.0,4,7,,,,3170.0,,,3170,,,06037,,,,,,,34047254,-118490143,5010.0,,,,,,1210,31,SMC2*,060377012.011008,12447,3101,113910,96149,0.0,,,,,,,1955.0,1,,313941.0,536681.0,2016,222740.0,6905.7,,,
11585547,,,,2.0,3.0,,8,2.0,,,2077.0,2077,,,,,06037,,2,,,,2,34012977,-118479243,6490.0,,,,,,0100,261,SMR2*,060377022.014001,26964,3101,,96152,0.0,,,,1,,,1926.0,,,210192.0,646760.0,2016,436568.0,7924.68,,,
11588747,,,,3.0,3.0,,5,3.0,,,2019.0,,,2019,,,06037,,3,,,,,34003621,-118477513,6763.0,,,,,,0300,247,SMOP2*,060377021.027000,26964,3101,117023,96152,0.0,,,,3,,,,,,451786.0,1431502.0,2016,979716.0,17034.34,,,
11592147,,,,0.0,0.0,3,,,,,28667.0,,,28667,,,06037,,,,,,,34021478,-118495171,,,,,,,1204,47,SMC3,060377014.024010,26964,3101,761543,96148,0.0,,,,,,,1958.0,4,,1.3315021E7,2.5797852E7,2016,1.2482831E7,333480.7,,,
11609547,,,,0.0,0.0,4,,,,,5610.0,,,5610,,,06037,,,,,,,34043579,-118420247,5500.0,,,,,,1210,31,LAC2,060372693.005005,12447,3101,403142,96045,0.0,,,,1,,,1932.0,1,,33522.0,239984.0,2016,206462.0,3436.86,,,
11617547,1,,,3.0,2.0,,,3.0,,,2735.0,2735,,,,,06037,,3,,,,2,34059700,-118439000,,,,,,,010C,266,LAR5,060372656.022002,12447,3101,118920,96005,0.0,,,,1,,,2010.0,,,757582.0,2922104.0,2016,2164522.0,34982.17,,,
11660547,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34061789,-118490569,,,,,,,0109,261,LARA,060372623.033004,12447,3101,113910,96030,0.0,,,,,,,,,,233427.0,6730242.0,2016,6496815.0,80348.13,,,
11681747,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34078805,-118685815,2902.0,,,,,,010V,261,LCA11*,060378001.023052,,3101,,96337,0.0,,,,,,,,,,,15532.0,2016,15532.0,248.89,,,
11698747,,,,0.0,0.0,4,6,,,,18629.0,,,18629,,,06037,,,,,,,33989166,-118352009,17015.0,,,,,,1200,47,LCC2YY,060377031.003012,12447,3101,115729,96024,0.0,,,,,,,1949.0,1,,590254.0,1315128.0,2016,724874.0,19040.15,,,
11704347,,,,0.0,0.0,4,4,,,,1781.0,,,1781,,,06037,,,,,,7,33997099,-118308380,7484.0,,,,,,1210,31,LAC2,060372324.003003,12447,3101,118208,96043,0.0,,,,1,,,1919.0,1,,31244.0,101107.0,2016,69863.0,2282.52,,,
11732547,,,,0.0,0.0,3,4,,,,4320.0,,,4320,,,06037,,,,,,,34040347,-118284504,9410.0,,,,,,1210,31,LAC2,060372211.202001,12447,3101,403192,95987,0.0,,,,,,,1925.0,1,,52490.0,262499.0,2016,210009.0,3695.84,,,
11742147,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34048500,-118351405,3928.0,,,,,,100V,260,LAC4,060372171.001005,12447,3101,274514,96000,0.0,,,,,,,,,,4703.0,290829.0,2016,286126.0,3639.9,,,
11751547,,,,0.0,0.0,4,,,,,1012.0,,,1012,,,06037,,,,,,,34059275,-118343860,6163.0,,,,,,1200,47,LAC2,060372162.001002,12447,3101,274514,96017,0.0,,,,,,,1936.0,1,,52011.0,1196269.0,2016,1144258.0,14592.4,,,
11759947,,,,2.0,4.0,,4,2.0,,,1931.0,,,1931,,,06037,,2,,,,7,33990297,-118275168,5420.0,,,,,,0200,246,LAR2,060372328.002008,12447,3101,268496,96018,0.0,,,,2,,,1957.0,,,124789.0,224617.0,2016,99828.0,2885.93,,,
11780147,,,,1.0,0.0,,,1.0,,,700.0,700,,,,,06037,,1,,,,,34046011,-118261452,,,,,,,01HC,266,LAC2,060372079.002000,12447,3101,268118,95996,0.0,,,,1,,,2008.0,,,271309.0,387288.0,2016,115979.0,4920.64,,,
11781947,,,,0.0,0.0,3,6,,,,13768.0,,,13768,,,06037,,,,,,,34053742,-118277178,19283.0,,,,,,1200,47,LAC2,060372094.021001,12447,3101,268404,96038,0.0,,,,5,,,1920.0,1,,185411.0,504840.0,2016,319429.0,8156.96,Y,15,
11808747,,,,0.0,0.0,4,4,,,,2427.0,,,2427,,,06037,,,,,,,34078681,-118213803,4676.0,,,,,,1210,31,LAC4,060371992.012003,12447,3101,116206,96012,0.0,,,,,,,1937.0,1,,131982.0,385794.0,2016,253812.0,4937.95,,,
11817747,,,,0.0,0.0,4,6,,,,2718.0,,,2718,,,06037,,,,,,,34090024,-118162665,2749.0,,,,,,1210,31,LAC2,060372015.011007,12447,3101,114914,96013,0.0,,,,2,,,1962.0,1,,229850.0,332879.0,2016,103029.0,2236.95,,,
11818747,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34072919,-118164004,5875.0,,,,,,0100,261,LAPF,060372017.003004,12447,3101,403190,96013,0.0,,,,,,,,,,,11009.0,2016,11009.0,,,,
11823747,,,,0.0,0.0,4,8,,,,3230.0,,,3230,,,06037,,,,,,,34048938,-118192806,4995.0,,,,,,1210,31,LAC2,060372032.002005,12447,3101,113886,96044,0.0,,,,2,,,1927.0,1,,42827.0,95552.0,2016,52725.0,1439.04,,,
11824947,,,,0.0,0.0,4,5,,,,2086.0,,,2086,,,06037,,,,,,,34040253,-118188151,5279.0,,,,,,1210,31,LCC3*,060375311.013003,17882,3101,,96044,0.0,,,,2,,,1908.0,1,,103339.0,369854.0,2016,266515.0,6196.56,,,
11825347,,,,0.0,0.0,4,4,,,,4355.0,,,4355,,,06037,,,,,,,34033519,-118185231,9132.0,,,,,,1210,31,LCC3*,060375311.014001,17882,3101,,96044,0.0,,,,5,,,1957.0,1,,303881.0,562744.0,2016,258863.0,9208.71,Y,11,
11828947,,,,0.0,0.0,4,5,,,,4567.0,,,4567,,,06037,,,,,,,34028416,-118191127,5163.0,,,,,,1210,31,LCC3*,060375312.012006,17882,3101,,96044,0.0,,,,1,,,1909.0,1,,37662.0,55862.0,2016,18200.0,2778.74,,,
11829547,,,,0.0,0.0,4,4,,,,2156.0,,,2156,,,06037,,,,,,,34024226,-118188022,7165.0,,,,,,1210,31,LCM1*,060375312.021008,17882,3101,,96004,0.0,,,,2,,,1959.0,1,,206071.0,343796.0,2016,137725.0,5716.15,,,
11852147,,,,0.0,0.0,4,4,,,,3159.0,,,3159,,,06037,,,,,,,34021350,-118130571,2555.0,,,,,,1210,31,MNC2*,060375302.041015,25953,3101,,96192,0.0,,,,2,,,1955.0,1,,59621.0,73264.0,2016,13643.0,1614.71,Y,15,
11900147,,,,0.0,0.0,3,,,,,6150.0,,,6150,,,06037,,,,,,,34096844,-118107664,4022.0,,,,,,1200,47,SLC2D*,060374811.011014,33837,3101,,96515,0.0,,,,,,,1916.0,1,,221153.0,406553.0,2016,185400.0,6693.9,,,
11918747,,,,0.0,0.0,3,8,,,,1045.0,,,1045,,,06037,,,,,,,34081400,-118085000,117792.0,,,,,,120C,47,SLM1-R3*,060374814.025006,33837,3101,,96515,0.0,,,,1,,,1993.0,,,190985.0,318308.0,2016,127323.0,4521.82,,,
11935747,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34071672,-118250933,2500.0,,,,,,040V,248,LARD2,060371976.002001,12447,3101,268134,96007,0.0,,,,,,,,,,,1835.0,2016,1835.0,34.1,,,
11936547,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34067385,-118242805,25183.0,,,,,,040V,248,LAR3,060371977.003006,12447,3101,268134,95993,0.0,,,,,,,,,,,122435.0,2016,122435.0,1754.55,,,
11951747,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34104348,-118254681,5173.0,,,,,,100V,260,LAR2,060371873.001013,12447,3101,268473,96020,0.0,,,,,,,,,,2258.0,545506.0,2016,543248.0,6520.09,,,
11954547,,,,0.0,0.0,,,,,,1200.0,1200,,,,,06037,,,,,,,34097714,-118248712,4054.0,,,,,,0109,261,LAR1,060371974.101013,12447,3101,268134,96020,0.0,,,,,,,1972.0,,,595.0,5328.0,2016,4733.0,91.6,,,
11960747,13,,,0.0,0.0,4,,,,,7323.0,,,7323,,,06037,,,,,,,34117105,-118242371,9099.0,,,,,,1210,31,LAC1,060371864.011003,12447,3101,273825,96046,0.0,,,,,,,1960.0,1,,128598.0,179934.0,2016,51336.0,2676.72,,,
11978347,13,,,0.0,0.0,4,,,,,5085.0,,,5085,,,06037,,,,,,,34110288,-118191254,3751.0,,,,,,1200,47,LAC4,060371836.102009,12447,3101,115609,96023,0.0,,,,,,,1919.0,1,,159801.0,285955.0,2016,126154.0,5381.07,,,
12002347,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34088168,-118355700,,,,,,,010V,260,WDR3C*,060377001.02100,48424,3101,,96027,0.0,,,,,,,,,,304575.0,1015250.0,2016,710675.0,12190.19,Y,15,
12013147,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34099979,-118341961,976.0,,,,,,040V,248,LARD1.5,060371901.003006,12447,3101,32059,96009,0.0,,,,,,,,,,,25381.0,2016,25381.0,331.47,,,
12022147,,,,0.0,0.0,4,6,,,,10152.0,,,10152,,,06037,,,,,,,34090892,-118385831,6057.0,,,,,,1200,47,WDC2A*,060377005.011001,48424,3101,,96050,0.0,,,,,,,1936.0,1,,852739.0,2101824.0,2016,1249085.0,28990.15,,,
12037147,,,,0.0,0.0,4,4,,,,5482.0,,,5482,,,06037,,,,,,,34102958,-118286134,6348.0,,,,,,1210,31,LAC4,060371891.011006,12447,3101,274359,96008,0.0,,,,4,,,1942.0,1,,194745.0,402476.0,2016,207731.0,5488.44,,,
12060147,,,,0.0,0.0,4,6,,,,5302.0,,,5302,,,06037,,,,,,,34162542,-118264158,5567.0,,,,,,1210,31,GLC3*,060373012.061003,45457,3101,275856,96321,0.0,,,,4,,,1940.0,1,,333493.0,798094.0,2016,464601.0,8944.55,,,
12076747,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34172392,-118198221,9787.0,,,,,,010V,260,GLR1RY,060373009.011015,45457,3101,276256,96325,0.0,,,,,,,,,,18638.0,181216.0,2016,162578.0,1991.53,Y,15,
12077147,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34170195,-118191644,2111.0,,,,,,0100,261,GLR1RY,060373009.01200,45457,3101,276256,96325,0.0,,,,,,,,,,,2171.0,2016,2171.0,,,,
12096947,1,,,3.0,2.0,,1,3.0,,,2510.0,2510,,,,,06037,,3,,,,2,34142330,-118157533,,,,,,,010C,266,PSRGSP-1B*,060374637.002008,47019,3101,275411,96293,0.0,,,,1,,,2015.0,,,584000.0,1674500.0,2016,1090500.0,9378.06,,,
12104147,,,,0.0,0.0,3,4,,,,6200.0,,,6200,,,06037,,,,,,,34148283,-118149156,10004.0,,,,,,1200,47,PSC-,060374619.022023,47019,3101,275958,96291,0.0,,,,,,,1924.0,1,,217561.0,2610776.0,2016,2393215.0,33702.9,,,
12111347,,,,0.0,0.0,2,,,,,18348.0,,,18348,,,06037,,,,,,,34144225,-118132334,53507.0,,,,,,120C,47,PSC,060374636.013005,47019,3101,275405,96289,0.0,,,,,,,2006.0,,,4023116.0,8409871.0,2016,4386755.0,104673.72,,,
12144747,,,,4.0,4.0,,4,4.0,,,3086.0,,,3086,,,06037,,4,,,,7,34111765,-118045669,12843.0,,,,,,0200,246,ARR1YY,060374316.002001,50749,3101,,96268,0.0,,,,2,,,1950.0,,,288506.0,820065.0,2016,531559.0,9602.77,,,
12167947,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34202429,-118123203,145953.0,,,,,,0100,261,LCR120000*,060374601.002000,30187,3101,,96265,0.0,,,,,,,,,,,378.0,2016,378.0,,,,
12171147,,,,0.0,0.0,4,4,,,,2098.0,,,2098,,,06037,,,,,,,34171205,-118131784,5927.0,,,,,,1210,31,PSC-,060374615.012000,47019,3101,273539,96292,0.0,,,,,,,1929.0,1,,19649.0,44476.0,2016,24827.0,1112.02,,,
12188547,,,,0.0,0.0,4,,,,,1377.0,,,1377,,,06037,,,,,,,33976720,-118268917,3251.0,,,,,,1210,31,LAR3,060372393.202002,12447,3101,268496,95984,0.0,,,,,,,1923.0,1,,16153.0,48479.0,2016,32326.0,834.94,Y,11,
12195547,,,,0.0,0.0,4,5,,,,2649.0,,,2649,,,06037,,,,,,7,33972924,-118288809,5602.0,,,,,,1210,31,LARD2,060372377.101003,12447,3101,118208,96025,0.0,,,,1,,,1912.0,1,,76082.0,155331.0,2016,79249.0,2135.55,,,
12209347,,,,0.0,0.0,4,4,,,,2440.0,,,2440,,,06037,,,,,,,33955375,-118307766,3000.0,,,,,,1210,31,LAC2,060372384.002003,12447,3101,118208,96028,0.0,,,,,,,1947.0,1,,59292.0,184119.0,2016,124827.0,2452.47,,,
12211747,,,,0.0,0.0,4,4,,,,2675.0,,,2675,,,06037,,,,,,,33956700,-118274000,2750.0,,,,,,1210,31,LAC2,060372402.003008,12447,3101,268496,95984,0.0,,,,,,,1960.0,1,,62312.0,153191.0,2016,90879.0,2076.56,,,
12228547,,,,0.0,0.0,4,3,,,,1564.0,,,1564,,,06037,,,,,,,33938538,-118268310,,,,,,,1210,31,LARD2,060372409.005003,12447,3101,268496,96042,0.0,,,,1,,,1932.0,1,,92600.0,235000.0,2016,142400.0,3354.42,,,
12254347,,,,0.0,0.0,4,,,,,1208.0,,,1208,,,06037,,,,,,,33885660,-118290186,6447.0,,,,,,1210,31,LAR3,060372912.102019,12447,3101,273930,96104,0.0,,,,1,,,1936.0,1,,12813.0,45505.0,2016,32692.0,1095.0,,,
12257147,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,33915785,-118271373,91940.0,,,,,,1210,31,LCR1*,060375409.023002,118994,3101,,96042,0.0,,,,,,,,1,,,62374.0,2016,62374.0,,,,
12310147,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,33954475,-118183468,,,,,,,300V,260,SGM2,060375360.001009,47762,3101,,96125,0.0,,,,,,,,,,5763000.0,2.7864269E7,2015,2.2101269E7,362406.91,,,
12311747,,,,0.0,0.0,4,8,,,,10030.0,,,10030,,,06037,,,,,,,33943371,-118199640,17595.0,,,,,,1200,47,SGC2*,060375359.024002,47762,3101,,96125,0.0,,,,,,,1985.0,1,,3116958.0,3841832.0,2016,724874.0,49852.47,,,
12322547,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,33906779,-118177023,7936.0,,,,,,300V,260,PAM2*,060375537.011007,6395,3101,,96220,0.0,,,,,,,,,,5076.0,308788.0,2016,303712.0,3697.21,,,
12360147,,,,0.0,0.0,4,4,,,,3084.0,,,3084,,,06037,,,,,,,33980399,-118206130,2834.0,,,,,,1210,31,HPCG*,060375332.012010,39076,3101,,96110,0.0,,,,,,,1926.0,1,,122749.0,269189.0,2016,146440.0,4780.24,,,
12366747,,,,0.0,0.0,4,3,,,,2029.0,,,2029,,,06037,,,,,,,33975454,-118164470,6369.0,,,,,,1210,31,BGCM*,060375341.012002,16961,3101,,96083,0.0,,,,1,,,1939.0,1,,108039.0,375895.0,2016,267856.0,6546.14,,,
12371547,,,,0.0,0.0,4,5,,,,1902.0,,,1902,,,06037,,,,,,7,34014159,-118146081,2471.0,,,,,,1210,31,CMC2*,060375323.033006,17882,3101,,96003,0.0,,,,1,,,1951.0,1,,26899.0,44271.0,2016,17372.0,1028.06,,,
12378747,,,,0.0,0.0,4,,,,,1534.0,,,1534,,,06037,,,,,,7,34011495,-118115623,5840.0,,,,,,1200,47,MNC2*,060375320.021002,25953,3101,,96192,0.0,,,,,,,1923.0,1,,97279.0,278632.0,2016,181353.0,4286.01,,,
12405147,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,33881947,-118064573,1163.0,,,,,,010D,269,CEADP3,060375545.1310,10774,3101,,96206,0.0,,,,,,,,,,,9.0,2016,9.0,,,,
12408747,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,33878703,-118087837,361.0,,,,,,010D,269,CEADP6,060375545.21301,10774,3101,,96206,0.0,,,,,,,,,,,9.0,2016,9.0,,,,
12446947,,,,0.0,0.0,4,4,,,,2875.0,,,2875,,,06037,,,,,,7,33874912,-118168701,3776.0,,,,,,1210,31,LBCCA,060375702.021002,46298,3101,276476,96239,0.0,,,,2,,,1947.0,1,,142557.0,203648.0,2016,61091.0,3001.85,,,
12476147,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,33874476,-118127752,6500.0,,,,,,100V,260,BFM1YY,060375544.042000,44116,3101,,96208,0.0,,,,,,,,,,5076.0,248736.0,2016,243660.0,2880.22,,,
12508747,,,,3.0,0.0,,6,3.0,,,9893.0,9893,,,,,06037,,3,,,,,33801943,-118157478,19073.0,,,,,,300V,260,SHM1*,060375734.031001,27103,3101,,96234,0.0,,,,1,,,2004.0,,,1212818.0,1742687.0,2016,529869.0,21738.76,,,
12537947,,,,0.0,0.0,,,,,,171.0,171,,,,,06037,,,,,,,33770827,-118156513,13002.0,,,,,,0109,261,LBRR2A,060375768.022002,46298,3101,416304,96246,0.0,,,,1,,,1973.0,,,,6920.0,2016,6920.0,255.17,,,
12549947,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,33779270,-118169007,601.0,,,,,,040V,248,LBR4*,060375764.031005,46298,3101,416309,96245,0.0,,,,,,,,,,,1004.0,2016,1004.0,24.04,,,
12559547,,,,0.0,0.0,,,,,,203.0,203,,,,,06037,,,,,,,33773611,-118193771,17359.0,,,,,,0109,261,LBPD10,060375759.021010,46298,3101,273486,96236,0.0,,,,1,,,1960.0,,,7083.0,14166.0,2016,7083.0,163.79,,,
12559747,13,,,0.0,0.0,3,8,,,,8360.0,,,8360,,,06037,,,,,,,33771212,-118191236,8600.0,,,,,,1214,47,LBPD30,060375762.005021,46298,3101,273486,96236,0.0,,,,,,,2003.0,4,,728164.0,1092245.0,2016,364081.0,16751.44,,,
12560547,,,,0.0,0.0,4,,,,,20089.0,,,20089,,,06037,,,,,,,33770013,-118192643,88436.0,,,,,,1210,31,LBCB*,060375759.021026,46298,3101,273486,96236,0.0,,,,,,,1992.0,1,,1183789.0,1288541.0,2016,104752.0,19099.49,,,
12592347,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,33824365,-118303282,,,,,,,010C,266,LAR1,060372932.02100,12447,3101,273930,96159,0.0,,,,,,,,,,,56417.0,2016,56417.0,699.37,,,
12606547,1,,,3.0,3.0,,7,3.0,,,2166.0,2166,,,,,06037,,3,,,,2,33837000,-118347000,22073.0,,,,,,010C,266,TOHC-CTR,060376507.012001,54722,3101,,96161,0.0,,,,1,,,2005.0,,,363000.0,659000.0,2016,296000.0,7580.62,,,
12612547,,,,0.0,0.0,4,6,,,,3725.0,,,3725,,,06037,,,,,,,33795369,-118318560,11168.0,,,,,,1210,31,LOCG-R1*,060376700.032006,53027,3101,,96217,0.0,,,,4,,,,1,,464913.0,587254.0,2016,122341.0,8253.47,,,
12645947,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,33750912,-118284822,4386.0,,,,,,0100,261,LAR1,060372962.10100,12447,3101,54300,96221,0.0,,,,,,,,,,,59927.0,2016,59927.0,,,,
12649147,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,33729436,-118292194,4648.0,,,,,,0100,261,LARD2,060372969.01200,12447,3101,54300,96221,0.0,,,,,,,,,,,23448.0,2016,23448.0,,,,
12665947,,,,0.0,0.0,4,4,,,,1464.0,,,1464,,,06037,,,,,,,33835697,-118384037,3717.0,,,,,,1210,31,RBC-2,060376213.013004,33612,3101,,96123,0.0,,,,1,,,1925.0,1,,32453.0,331068.0,2016,298615.0,4468.67,,,
12682747,,,,0.0,0.0,4,4,,,,2000.0,,,2000,,,06037,,,,,,,33803768,-118349826,6102.0,,,,,,1210,31,TOHC-GEN,060376514.022040,54722,3101,118825,96163,0.0,,,,,,,1953.0,1,,187185.0,499165.0,2016,311980.0,5985.29,,,
12685947,,,,0.0,0.0,3,6,,,,8444.0,,,8444,,,06037,,,,,,,33799682,-118388346,5774.0,,,,,,1200,47,PVC*,060376703.244027,33311,3101,,96121,0.0,,,,,,,1952.0,1,,668630.0,1088800.0,2016,420170.0,14959.2,,,
12716947,,,,1.0,3.0,,4,1.0,,,1244.0,1244,,,,,06037,,1,,,,7,33953559,-118083855,6021.0,,,,,,0100,261,SSR1YY,060375027.004004,13716,3101,,96201,0.0,,,,1,,,1950.0,,,108040.0,169471.0,2016,61431.0,2532.88,,,
12757147,1,,,2.0,3.0,,4,2.0,,,1300.0,1300,,,,,06037,,2,,,,2,33897134,-118102953,4917.0,,,,,,0100,261,NOR1YY,060375530.002002,53636,3101,,96193,0.0,,,,1,,,1950.0,,,77415.0,233266.0,2016,155851.0,3110.99,,,
12757947,,,,2.0,3.0,,6,2.0,,,1222.0,1222,,,,,06037,,2,,,,7,33889894,-118100732,5500.0,1,,,,1,0101,261,NOR1*,060375530.004015,53636,3101,,96193,0.0,,,,1,,,1951.0,,,117839.0,290492.0,2016,172653.0,3870.25,,,
